movie_title,review
굿보이,상냥한 스필버그_45664
굿보이,"정신없고 산만하고 유치하고 억지스럽고
게다가 빠순이들의 무지성 별점투척에 신물이난다"
굿보이,까칠한 전도연_106912
굿보이,유치하다........
굿보이,준호_282968
굿보이,작가가 누군지 검색해보게 한거라면 성공한 듯 캐스팅도 영 미스고………..오바액션덩어리
굿보이,신이난_윤여정_539949
굿보이,2000년도에 나왔다고 해도 처참할 정도로 유치찬란함..
굿보이,0101010
굿보이,박보검 드라마는 볼게없다 역시나
굿보이,싹싹한_엠마스톤_754353
굿보이,"저 좋은 배우들 가지고, B급 드라마를 만들어 버림."
굿보이,드두디
굿보이,별 생각 없이 봤ㄴ는데 샹각보다 엄청 재밌네요
굿보이,드영광
굿보이,"아니 그냥 너무 정신없는 드라마예요.. 
(그냥 코믹 80퍼, 로맨스 10퍼, 엔딩 때 나오는 약간의 액션 스릴러 10퍼니까 이 점 알고 보시길..)"
굿보이,당첨플리즈
굿보이,정의감은 국가대표들만 불타오르나…….. 캐스팅도 좀 안맞고  작가가 라이프온마스 쓴 작가라니……..더 지켜봐야하나 더 보기 힘든데……..
굿보이,ruru
굿보이,재밌다 1회 엔딩 찢었네 엄청 힘줬다 잘찍었고
84제곱미터,새침한_아이유_291347
84제곱미터,강하늘씨 요즘 너무 다작하네요.그래서 그런지 요즘 나오는 작품들은 다 실망.특히 스트리밍 그리고 84제곱미터.
84제곱미터,달리는펭귄
84제곱미터,초반 30분은 명작인줄 알았다...
84제곱미터,당첨플리즈
84제곱미터,감독이 아는 욕이 하나밖에 없는게 분명함…스토리는 치솟는 집값만큼이나 말도 안되고 어이없음…에휴
84제곱미터,강인한_박찬욱_121303
84제곱미터,"아 야발 강하늘형!! 영화 선구안좀 !!
아니 억지로 회사에서 시키면 당근을 흔들어주세요
이건뭐 영화 찍는거마다 똥이야 
강하늘형 경찰서 잡혀가면 끄는게 맞다"
84제곱미터,닉네임
84제곱미터,대체 무엇을 말하고자 하는가. 갈수록 막 간다.
84제곱미터,귀여운 디카프리오_22616
84제곱미터,뭐 후반부가 너무 난잡하기도 하고 막무가내 스토리이긴 합니다만 그래도...스트리밍보다 100배는 나은거같은데...와 스트리밍은 진짜 무슨 동아리 습작수준
84제곱미터,shwhwengirl
84제곱미터,"말 그대로 현실 스릴러다. 연출이 기가 막혔다. 
게다가 배우들의 연기가 대단하다. 살짝 아쉬운 점은
내용이 조금 부족하다. 특히 진호의 서사.
킬링타임용으로 좋은 작품."
84제곱미터,친절한_마동석_486820
84제곱미터,강하늘님이랑 서현우님이 연기를 기막히게 해서 그런지 2시간이 훌쩍 지나갔네요. 아파트 무서워서 못살겠네ㅋㅋ어쨋든 몰입 잘 되고 너무 재밌었습니다.
84제곱미터,하정우
84제곱미터,"뻔한 내용 같지만 은근 집중되는 영화. 
영화같은 내용이 펼쳐지는 요즘. 그냥 볼 만 했다."
84제곱미터,오리
84제곱미터,리뷰 보고 기대 하나도 안 하고 킬링타임용으로 봤다. 30분 후쯤에 지루해지는 부분이 좀 있으나 거기 넘기면 또 나름 재미있다. 편집이 아쉽지만 연기만 두고보면 흥미롭다.
킹 오브 킹스,방구석11열
킹 오브 킹스,예수님의 실제 생애 속에서 그분께서 보여주셨던 사랑을 어린 아이들이나 어른들에게 모두 강렬하게 전달하는 마음이 뜨거워지는 영화
킹 오브 킹스,싹싹한_루이스_822053
킹 오브 킹스,"영상미가 너무좋고,고증이 잘됐다고 하더니 기대이상이었습니다 스토리도 너무 좋았구요
좋은작품 만들어 주셔서 감사합니다"
킹 오브 킹스,고고한_레이놀즈_150500
킹 오브 킹스,모션 캡쳐에 실사 영화 같은 카메라 무빙까지 장면 장면마다 생생하고 가족이 함께 볼 수 있는 따듯한 영화. 북미에서의 흥행을 인정하게 만드는 작품!!
킹 오브 킹스,콘티넨탈
킹 오브 킹스,병헌리가 들려주는 신선한 웰메이드 기독교 애니메이션
킹 오브 킹스,DominickYeo
킹 오브 킹스,"예수님의 생애를 깊고 넓게 그리고 자세하게 보여주며
예수님을 모르더라도 모든 사람에게 이 이야기는
쉽게 다가간다."
킹 오브 킹스,양기자(YCU)
킹 오브 킹스,"북미에서는 한국을 소재로 한 애니가, 한국에서는 미국 시장을 겨눈 애니가 성공하는 2025년, 흥미롭다. 어린이 여름성경학교 온 느낌."
킹 오브 킹스,깜찍한_샤이니_600921
킹 오브 킹스,감동의 쓰나미가...한국에서 이런 고퀼리티 애니매이선이 만들어지자니... 자랑스럽습니다!  전세계에서 성공하길 바랍니다!!
킹 오브 킹스,화가난_박찬욱_650408
킹 오브 킹스,예수님이 늘 동행하시듯이 그런 따뜻함이 있는 영화~ 잔잔하고 담백하게 전해지는 이야기가 예수님의 사랑을 더 깊이 생각하게 하는 영화~ 두고 두고 보고 싶은 영화입니다
킹 오브 킹스,재밌는_이정재_425874
킹 오브 킹스,N차 관람에도 또다른 감동이 밀려옵니다
킹 오브 킹스,라파엘
킹 오브 킹스,"예수 그리스도를 삶의 본보기로 따르려는 진심을 깊이 새기고, 한국의 섬세한 기술력으로 그 감동을 눈부시게 완성해낸 따뜻하고 자랑스러운 이야기다."
F1 더 무비,요키치
F1 더 무비,대부분의 관객이 실패 없이 관람 가능한 극장용 영화. 개인적으로는 탑건보다는 조금 모자랐다.
F1 더 무비,귀여운_침착맨_569931
F1 더 무비,F1이 주는 쾌감 장닌아님 ㅎㅎㅎㅎ
F1 더 무비,KrisKelbin
F1 더 무비,"하늘에는 매버릭, 땅 위에는 헤이스. (플랜 C는 Classic의 C)"
F1 더 무비,PROERA
F1 더 무비,0.1초를 단축하려는 세계를 0.1초라도 더 점유하고 싶은 강렬한 역설
F1 더 무비,키높이오
F1 더 무비,저 아직 안전벨트 안맸는데 달리시면 어떡해요...
F1 더 무비,도도한_567681
F1 더 무비,완전 대박
F1 더 무비,낯선사람
F1 더 무비,멀리있던 F1이 가장 가까이 다가온다.
F1 더 무비,싹싹한_엠마스톤_295829
F1 더 무비,어떤영화들은 체험된다
F1 더 무비,푸린세스
F1 더 무비,짧지않은 러닝타임이였지만 지루할 틈을 안준다
F1 더 무비,ㄱㅁㄱ
F1 더 무비,F1이 관심이 많은사람뿐만 아니라 잘 모르는 사람에게도 최고의 레이싱 영화
서초동,하다니
서초동,"매번 드라마의 주인공이었던 개업변호사나 대형로펌의 고용변이 아닌 직업인으로서의 고용변의 모습을 잘 보여주고 있다
비현실적으로 잘생기고 이쁜 변호사들이지만 그걸 욕할 수는 없지"
서초동,작두
서초동,언젠가는 재미있을 <서초동>생활
서초동,친절한_강동원_724065
서초동,변호사들도 보통의 직장인이라는 컨셉을 가져가려는 듯 한데.. 이종석의 스타일링이 너무 왕자님이다.
서초동,ruru
서초동,사건이랑 럽라가 재밌음
서초동,앙
서초동,일단 현실에 맞개 좀 인물이 펑범했으먼 좋겠음 죄다 잘생기고 맛있음 젊고 좀더 나이든나이가 있는 ㅜ ㅣㅗ
서초동,연분홍빛춤출무렵
서초동,스토리와 배우들 연기를 떠나  PPL 범벅이라 보는내내 눈에 거슬림. 특히나 매회 나오는 음식점에서의 PPL은...좀 너무하다 싶네요.
서초동,너무많이봐서기억도안나
서초동,4화까지 본 결과지만 일단 그럭저럭 봤다 재밌지도 재미있지도 않게  변호사라는 전문직업때문에 보는사람들이 갈릴수도 있을것같다
서초동,즐거운_이병헌_516323
서초동,"매회 법률관련 에피소드와 이종석,문가영 로맨스가 기대됩니다."
서초동,귀여운 마고로비_134474
서초동,"오랜만에 이종석 복귀작 슴슴한 평양냉면 같은데 은근히 끌린다고 해야되나? 의외로 흥미가 생기는 러브라인
현실에 맞닿은 이야기로 잘 풀어줬으면"
서초동,무하마드찰리
서초동,식당에서 밥 먹다가 공익에 대해서 설전을 벌이는 장면. 아 이런 거 이제 좀 안하면 안되나
파인: 촌뜨기들,어나더레벨휘
파인: 촌뜨기들,믿고 보는 작감배 그리고 카메오까지ㅋㅋㅋ다들 구멍 일도 없이 촘촘하고 빼곡한 연기신들의 존재감에 몰입도 최고였네요!!악당짓 하랬더니 연기자랑중인 배우님들…사투리마저 맛집이었어요
파인: 촌뜨기들,덤덤한_이병헌_106620
파인: 촌뜨기들,"일단 3부까지 잼나게 봄. 
속도만 몰아치는 작품들보다 일케 캐릭터로 쌓아가는거  좋음. 미술 음악 연기 삼박자 다 좋음. 후반부 지속 기대해보겠음"
파인: 촌뜨기들,도도한_코난_320505
파인: 촌뜨기들,"뛰는 놈 위에 나는 놈, 누가 먹히고 먹을 것인가?! 뻔하지 않게 풀어내는 연출이 미쳣고, 그 시대에 빠져들게 하는 배우님들의 연기에 미친다."
파인: 촌뜨기들,콘티넨탈
파인: 촌뜨기들,오프닝부터 연기 차력쇼에 도파민이 대폭발하는 연출까지 다 갖춰진 작품
파인: 촌뜨기들,새침한_아이유_156373
파인: 촌뜨기들,"오랫만에 대놓고 마라맛 난무한 드라마가 아닌, 캐릭터와 스토리 서사가 입체적으로 쌓여가는 드라마를 만난 것 같아서 너무 좋다! 매주 기다려지는 드라마 오랫만. 역시 강윤성."
파인: 촌뜨기들,멜론이최고
파인: 촌뜨기들,도입부터 도파민 제대로 터진다! 믿고 보는 배우들 다 집합해서 그런가.. 용두용미가 기대되는 작품!!
파인: 촌뜨기들,깜찍한_크리스토퍼_435116
파인: 촌뜨기들,"연기, 미장센, 연출 삼박자 조합이 최고입니다! 오랜만에 볼만한 시리즈 나와서 기분이 좋네요!"
파인: 촌뜨기들,즐거운_김태희_335955
파인: 촌뜨기들,스토리 연기 연출 뭐하나 놓치지 않은 작품 삼박자가 딱 맞아 떨어진다 배태랑 배우들 사이에서도 빛을 발하는 양세종 연기가 탁월
파인: 촌뜨기들,친절한_안나_441376
파인: 촌뜨기들,"오랜만에 볼맛 나는 드라마 꽉 채워진 스토리와 캐릭터성 
3회까지 본 바로는 최고다 앞으로 더 기대해본다"
파인: 촌뜨기들,싹싹한_김남길_422907
파인: 촌뜨기들,탄탄한 연출과 연기. 남은 편수도 매우 기대된다
노이즈,귀여운_침착맨_569931
노이즈,인간의 무서움을 다 집중하셨으면 좋았을 듯
노이즈,도도한_567681
노이즈,무서움
노이즈,이선빈개미녀
